SL NO,F&O STOCKS NAME,SYMBOL,LOT SIZE,zerodha_name
1,Nifty Bank,BANKNIFTY,30,NIFTY BANK
2,Finnifty,FINNIFTY,60,NIFTY FIN SERVICE
3,Nifty Midcap Select,MIDCPNIFTY,120,NIFTY MIDCAP SELECT (MIDCPNIFTY)
4,Nifty 50,NIFTY,65,NIFTY 50
5,Nifty Next 50,NIFTY NEXT 50,25,NIFTY NEXT 50
6,360 One WAM,360ONE,500,360 ONE WAM
7,ABB,ABB,125,ABB INDIA
8,Aditya Birla Capital,ABCAPITAL,3100,ADITYA BIRLA CAPITAL
9,Adani Energy Solutions,ADANIENSOL,675,ADANI ENERGY SOLUTION
10,Adani Enterprises,ADANIENT,300,ADANI ENTERPRISES
11,Adani Green Energy,ADANIGREEN,600,ADANI GREEN ENERGY
12,Adani Ports & SEZ,ADANIPORTS,475,ADANI PORT & SEZ
13,Alkem Laboratories,ALKEM,125,ALKEM LABORATORIES
14,Amber Enterprises,AMBER,100,AMBER ENTERPRISES (I)
15,Ambuja Cements,AMBUJACEM,1050,AMBUJA CEMENTS
16,Angel One,ANGELONE,250,ANGEL ONE
17,APL Apollo Tubes,APLAPOLLO,350,APL APOLLO TUBES
18,Apollo Hospitals,APOLLOHOSP,125,APOLLO HOSPITALS ENTER. L
19,Ashok Leyland,ASHOKLEY,5000,ASHOK LEYLAND
20,Asian Paints,ASIANPAINT,250,ASIAN PAINTS
21,Astral,ASTRAL,425,ASTRAL
22,AU Small Finance Bank,AUBANK,1000,AU SMALL FINANCE BANK
23,Aurobindo Pharma,AUROPHARMA,550,AUROBINDO PHARMA
24,Axis Bank,AXISBANK,625,AXIS BANK
25,Bajaj Auto,BAJAJ-AUTO,75,BAJAJ AUTO
26,Bajaj Finserv,BAJAJFINSV,500,BAJAJ FINSERV
27,Bajaj Finance,BAJFINANCE,750,BAJAJ FINANCE
28,Bandhan Bank,BANDHANBNK,3600,BANDHAN BANK
29,Bank of Baroda,BANKBARODA,2925,BANK OF BARODA
30,Bank of India,BANKINDIA,5200,BANK OF INDIA
31,Bharat Dynamics,BDL,325,BHARAT DYNAMICS
32,Bharat Electronics,BEL,2850,BHARAT ELECTRONICS
33,Bharat Forge,BHARATFORG,500,BHARAT FORGE
34,Bharti Airtel,BHARTIARTL,475,BHARTI AIRTEL
35,Bharat Heavy Electricals,BHEL,2625,BHEL
36,Biocon,BIOCON,2500,BIOCON
37,Blue Star,BLUESTARCO,325,BLUE STAR
38,Bosch,BOSCHLTD,25,BOSCH
39,Bharat Petroleum,BPCL,1975,BHARAT PETROLEUM CORP  LT
40,Britannia Industries,BRITANNIA,125,BRITANNIA INDUSTRIES
41,BSE,BSE,375,BSE
42,Computer Age Management Services,CAMS,150,COMPUTER AGE MNGT SER
43,Canara Bank,CANBK,6750,CANARA BANK
44,CDSL,CDSL,475,CENTRAL DEPO SER (I)
45,CG Power & Industrial Solutions,CGPOWER,850,CG POWER AND IND SOL
46,Cholamandalam Investment,CHOLAFIN,625,CHOLAMANDALAM IN & FIN CO
47,Cipla,CIPLA,375,CIPLA
48,Coal India,COALINDIA,1350,COAL INDIA
49,Coforge,COFORGE,375,COFORGE
50,Colgate Palmolive,COLPAL,225,COLGATE PALMOLIVE
51,Container Corporation of India,CONCOR,1250,CONTAINER CORP OF IND
52,Crompton Greaves,CROMPTON,1800,CROMPT GREA CON ELEC
53,Cummins,CUMMINSIND,200,CUMMINS INDIA
54,Cyient,CYIENT,425,CYIENT
55,Dabur India,DABUR,1250,DABUR INDIA
56,Dalmia Bharat,DALBHARAT,325,DALMIA BHARAT
57,Delhivery,DELHIVERY,2075,DELHIVERY
58,Divis Laboratories,DIVISLAB,100,DIVI S LABORATORIES
59,Dixon Technologies,DIXON,50,DIXON TECHNO (INDIA)
60,DLF,DLF,825,DLF
61,Avenue Supermarts DMart,DMART,150,AVENUE SUPERMARTS
62,Dr Reddys Laboratories,DRREDDY,625,DR. REDDY S LABORATORIES
63,Eicher Motors,EICHERMOT,175,EICHER MOTORS
64,Eternal,ETERNAL,2425,ETERNAL - ZOMATO
65,Exide Industries,EXIDEIND,1800,EXIDE INDUSTRIES
66,Federal Bank,FEDERALBNK,5000,FEDERAL BANK
67,Fortis Healthcare,FORTIS,775,FORTIS HEALTHCARE
68,GAIL,GAIL,3150,GAIL (INDIA)
69,Glenmark Pharmaceuticals,GLENMARK,375,GLENMARK PHARMACEUTICALS
70,GMR Airports,GMRAIRPORT,6975,GMR AIRPORTS
71,Godrej Consumer Products,GODREJCP,500,GODREJ CONSUMER PRODUCTS
72,Godrej Properties,GODREJPROP,275,GODREJ PROPERTIES
73,Grasim Industries,GRASIM,250,GRASIM INDUSTRIES
74,Hindustan Aeronautics,HAL,150,HINDUSTAN AERONAUTICS
75,Havells,HAVELLS,500,HAVELLS INDIA
