id,name,designation,company
1,Bharat D Shah,Chairman(NonExe.&Ind.Director),3mindia
2,Radhika Rajan,Ind. Non-Executive Director,3mindia
3,Amit Laroya,Non Executive Director,3mindia
4,James Ernest Falteisek,Non Executive Director,3mindia
5,Ramesh Ramadurai,Managing Director,3mindia
6,Biren Gabhawala,Ind. Non-Executive Director,3mindia
7,Jongho Lee,Non Executive Director,3mindia
8,Mamta Janak Gore,Non Executive Director,3mindia
9,Chandrakant V Gogri,Chairman Emeritus,aartidrugs
10,Rashesh C Gogri,Managing Director,aartidrugs
11,Harit P Shah,Whole Time Director,aartidrugs
12,Narendra J Salvi,Non Executive Director,aartidrugs
13,Navin C Shah,Independent Director,aartidrugs
14,Vilas G Gaikar,Independent Director,aartidrugs
15,Prakash M Patil,Chairman & M.D & CEO,aartidrugs
16,Harshit M Savla,Joint Managing Director,aartidrugs
17,Uday M Patil,Whole Time Director,aartidrugs
18,Bhavesh R Vora,Independent Director,aartidrugs
19,Krishnacharya G Akamanchi,Independent Director,aartidrugs
20,Priti P Savla,Independent Director,aartidrugs
21,Chandrakant V Gogri,Chairman Emeritus,aartiindustries
22,Rashesh C Gogri,Vice Chairman & Mng.Director,aartiindustries
23,Manoj M Chheda,Executive Director,aartiindustries
24,Kirit R Mehta,Executive Director,aartiindustries
25,Narendra Jagannath Salvi,Executive Director,aartiindustries
26,P A Sethi,Independent Director,aartiindustries
27,Ganapati D Yadav,Independent Director,aartiindustries
28,Vinay G Nayak,Independent Director,aartiindustries
29,Rajendra V Gogri,Chairman & Managing Director,aartiindustries
30,Parimal H Desai,Executive Director,aartiindustries
31,Hetal Gogri Gala,Executive Director,aartiindustries
32,Renil R Gogri,Executive Director,aartiindustries
33,K V S Shyam Sunder,Independent Director,aartiindustries
34,Bhavesh R Vora,Independent Director,aartiindustries
35,Priti P Savla,Independent Director,aartiindustries
36,Lalitkumar S Naik,Independent Director,aartiindustries
37,Sandeep Tandon,Chairperson & Independent Director,aavasfinanciers
38,Kalpana Iyer,Independent Director,aavasfinanciers
39,Vivek Vig,Non Exe. & Nominee Director,aavasfinanciers
40,Manas Tandon,Non Exe. & Nominee Director,aavasfinanciers
41,Ramchandra Kasargod Kamath,Non Exe. & Nominee Director,aavasfinanciers
42,Sushil Kumar Agarwal,Managing Director & CEO,aavasfinanciers
43,Soumya Rajan,Independent Director,aavasfinanciers
44,Nishant Sharma,Non Exe. & Nominee Director,aavasfinanciers
45,Kartikeya Dhruv Kaji,Non Exe. & Nominee Director,aavasfinanciers
46,Kumar Mangalam Birla,Chairman & Non-Exe.Director,adityabirlacapital
47,Sushil Agarwal,Non Executive Director,adityabirlacapital
48,P H Ravikumar,Independent Director,adityabirlacapital
49,S C Bhargava,Independent Director,adityabirlacapital
50,Santrupt Misra,Non Executive Director,adityabirlacapital
51,Arun Adhikari,Independent Director,adityabirlacapital
52,Vijayalakshmi R Iyer,Independent Director,adityabirlacapital
53,Romesh Sobti,Non Exe. & Nominee Director,adityabirlacapital
54,Morten Wierod,Chairman,abbindia
55,Darius E Udwadia,Director,abbindia
56,V K Viswanathan,Director,abbindia
57,Sanjeev Sharma,Managing Director,abbindia
58,Renu Sud Karnad,Director,abbindia
59,Maria Rosaria Varsellona,Director,abbindia
60,Munir Shaikh,Chairman,abbottindia
61,Rajiv Sonalker,WholeTime Director & CFO,abbottindia
62,Ambati Venu,Non Executive Director,abbottindia
63,Sudarshan Jain,Independent Director,abbottindia
64,Shalini Kamath,Independent Director,abbottindia
65,Anil Joseph,Managing Director,abbottindia
66,Kaiyomarz Marfatia,Non Executive Director,abbottindia
67,Sabina Ewing,Non Executive Director,abbottindia
68,Anisha Motwani,Independent Director,abbottindia
69,N S Sekhsaria,Chairman,acc
70,Martin Kriegner,Non Exe.Non Ind.Director,acc
71,Neeraj Akhoury,Non Exe.Non Ind.Director,acc
72,Falguni Nayar,Ind. Non-Executive Director,acc
73,Sunil Mehta,Ind. Non-Executive Director,acc
74,D Sundaram,Ind. Non-Executive Director,acc
75,Sridhar Balakrishnan,Managing Director & CEO,acc
76,Jan Jenisch,Non Exe.Non Ind.Director,acc
77,M R Kumar,Non Exe.Non Ind.Director,acc
78,Shailesh Haribhakti,Ind. Non-Executive Director,acc
79,Vinayak Chatterjee,Ind. Non-Executive Director,acc
80,S K Roongta,Ind. Non-Executive Director,acc
81,Gautam S Adani,Chairman,adanienterprises
82,Pranav V Adani,Director,adanienterprises
83,V Subramanian,Director,adanienterprises
84,Vinay Prakash,Director,adanienterprises
85,Rajesh S Adani,Managing Director,adanienterprises
86,Hemant Nerurkar,Director,adanienterprises
87,Vijaylaxmi Joshi,Director,adanienterprises
88,Narendra Mairpady,Director,adanienterprises
89,Gautam S Adani,Chairman & Managing Director,adaniportsspecialeconomiczone
90,Malay Mahadevia,Whole Time Director,adaniportsspecialeconomiczone
91,Rajesh S Adani,Non Exe.Non Ind.Director,adaniportsspecialeconomiczone
92,Gopal Krishna Pillai,Ind. Non-Executive Director,adaniportsspecialeconomiczone
93,Bharat Sheth,Ind. Non-Executive Director,adaniportsspecialeconomiczone
94,Karan Adani,WholeTime Director & CEO,adaniportsspecialeconomiczone
95,Avantika Singh Aulakh,Non Exe.Non Ind.Director,adaniportsspecialeconomiczone
96,Ganesan Raghuram,Ind. Non-Executive Director,adaniportsspecialeconomiczone
97,P S Jayakumar,Ind. Non-Executive Director,adaniportsspecialeconomiczone
98,Nirupama Rao,Ind. Non-Executive Director,adaniportsspecialeconomiczone
99,Gautam S Adani,Chairman,adanipower
100,Rajesh S Adani,Director,adanipower
101,Raminder Singh Gujral,Independent Director,adanipower
102,Anil Sardana,Managing Director,adanipower
103,Mukesh Shah,Independent Director,adanipower
104,Gauri Trivedi,Independent Director,adanipower
105,Gautam S Adani,Chairman,adanitotalgas
106,Pranav V Adani,Director,adanitotalgas
107,Naresh Kumar Nayyar,Independent Director,adanitotalgas
108,Maheswar Sahu,Independent Director,adanitotalgas
109,Alexis Thelemaque,Director,adanitotalgas
110,Jose-Ignacio Sanz Saiz,Director,adanitotalgas
111,Chandra Iyengar,Independent Director,adanitotalgas
112,Gauri Trivedi,Independent Director,adanitotalgas
113,Gautam S Adani,Chairman,adanitransmission
114,Rajesh S Adani,Director,adanitransmission
115,Meera Shankar,Director,adanitransmission
116,Anil Sardana,Managing Director & CEO,adanitransmission
117,K Jairaj,Director,adanitransmission
118,Ravindra H Dholakia,Director,adanitransmission
119,Kumar Mangalam Birla,Chairman & Non-Exe.Director,adityabirlafashionretail
120,Ashish Dikshit,Managing Director,adityabirlafashionretail
121,Vishak Kumar,Whole Time Director,adityabirlafashionretail
122,Sukanya Kripalu,Independent Director,adityabirlafashionretail
123,Nish Bhutani,Independent Director,adityabirlafashionretail
124,Arun Adhikari,Independent Director,adityabirlafashionretail
125,Himanshu Kapania,Vice Chairman & Non Exe.Dire,adityabirlafashionretail
126,Sangeeta Pendurkar,Whole Time Director,adityabirlafashionretail
127,Vikram Rao,Non Executive Director,adityabirlafashionretail
128,Sunirmal Talukdar,Independent Director,adityabirlafashionretail
