Date,Open,High,Low,Close,Volume
2019-06-03,148.0,149.9,144.5,149.45,40272408.0
2019-06-04,148.8,153.85,148.55,152.8,45560540.0
2019-06-06,148.45,151.2,142.3,143.4,65169529.0
2019-06-07,143.4,145.45,136.15,139.9,66206668.0
2019-06-10,141.9,145.0,132.55,135.9,86398912.0
2019-06-11,135.0,143.5,133.75,139.55,80946657.0
2019-06-12,136.0,137.8,133.6,134.75,56236715.0
2019-06-13,130.8,130.8,116.0,117.1,197154833.0
2019-06-14,118.5,121.0,112.85,115.05,155169990.0
2019-06-17,118.0,118.35,113.75,116.15,84436078.0
2019-06-18,116.0,117.5,107.1,109.3,116604528.0
2019-06-19,109.0,111.45,101.3,103.2,126458237.0
2019-06-20,102.0,115.9,98.7,114.55,159393077.0
2019-06-21,114.55,114.8,108.25,109.6,106421502.0
2019-06-24,112.0,114.0,108.85,111.95,79695315.0
2019-06-25,111.0,112.5,109.1,110.05,56892279.0
2019-06-26,109.0,114.65,108.4,113.05,72879532.0
2019-06-27,113.05,114.5,111.8,112.4,51280994.0
2019-06-28,112.5,113.0,107.5,108.75,68854685.0
2019-07-01,109.5,110.5,107.65,109.15,42545442.0
2019-07-02,108.05,108.05,99.8,100.8,149669579.0
2019-07-03,100.75,103.8,98.85,99.75,112667717.0
2019-07-04,101.0,102.15,95.2,96.25,108105010.0
2019-07-05,95.0,96.85,87.4,88.15,220546903.0
2019-07-08,87.0,94.6,85.65,93.15,197675527.0
2019-07-09,95.0,97.0,90.3,91.35,137863884.0
2019-07-10,92.15,94.0,91.5,93.0,75776545.0
2019-07-11,94.0,95.0,90.7,92.45,73432269.0
2019-07-12,93.25,94.85,91.65,94.2,60702978.0
2019-07-15,95.0,99.3,92.55,93.2,126736904.0
2019-07-16,94.0,106.5,92.25,103.85,228682135.0
2019-07-17,108.5,108.5,97.55,98.4,238375009.0
2019-07-18,88.6,90.25,79.15,85.8,229258092.0
2019-07-19,86.0,86.9,82.6,83.25,145863654.0
2019-07-22,83.3,92.5,81.7,91.15,208758719.0
2019-07-23,89.0,93.9,87.1,90.65,164964349.0
2019-07-24,91.5,93.65,88.15,89.15,104007122.0
2019-07-25,88.4,90.4,85.85,87.65,113015178.0
2019-07-26,88.75,96.9,87.1,96.05,186097455.0
2019-07-29,95.7,98.7,91.35,94.75,138287221.0
2019-07-30,95.0,96.3,81.15,86.05,120979045.0
2019-07-31,86.0,92.35,84.75,91.2,133054947.0
2019-08-01,88.95,91.3,85.75,88.4,111842102.0
2019-08-02,87.8,90.9,86.8,88.3,106397716.0
2019-08-05,88.0,88.0,79.5,81.1,136352605.0
2019-08-06,80.9,86.65,79.7,85.35,134819814.0
2019-08-07,86.5,92.0,86.1,86.85,171429816.0
2019-08-08,89.25,89.9,84.8,89.2,122325009.0
2019-08-09,91.8,92.45,81.15,82.15,187030766.0
2019-08-13,84.0,84.2,72.85,73.6,206712601.0
2019-08-14,74.9,77.9,70.55,76.55,173114134.0
2019-08-16,79.0,81.45,76.85,79.45,143478784.0
2019-08-19,79.45,80.75,76.0,76.65,127652182.0
2019-08-20,76.95,76.95,70.5,71.2,167966737.0
2019-08-21,71.2,71.5,64.55,65.4,228212985.0
2019-08-22,66.4,67.7,53.2,56.3,314692568.0
2019-08-23,56.4,61.25,54.75,59.25,309367850.0
2019-08-26,62.95,64.7,57.35,62.9,277799302.0
2019-08-27,62.9,65.35,62.5,64.5,190996863.0
2019-08-28,64.5,65.15,58.05,59.5,223167624.0
2019-08-29,59.25,59.3,55.0,57.4,188754023.0
2019-08-30,58.25,60.95,55.5,59.95,226395035.0
2019-09-03,59.25,62.3,57.65,58.75,196326964.0
2019-09-04,58.35,60.3,57.25,59.45,143742201.0
2019-09-05,59.7,62.35,58.85,61.95,177919556.0
2019-09-06,61.3,62.15,59.6,60.4,130716447.0
2019-09-09,60.1,64.1,59.85,63.1,150897861.0
2019-09-11,66.0,75.45,65.0,71.6,332938591.0
